Country,Population
Afghanistan,37172386
Albania,2866376
Algeria,42228429
Andorra,77006
Angola,30809762
Antigua and Barbuda,96286
Argentina,44494502
Armenia,2951776
Australia,24992369
Austria,8847037
Azerbaijan,9942334
Bahamas,385640
Bahrain,1569439
Bangladesh,161356039
Barbados,286641
Belarus,9485386
Belgium,11422068
Benin,11485048
Bhutan,754394
Bolivia,11353142
Bosnia and Herzegovina,3323929
Brazil,209469333
Brunei,428962
Bulgaria,7024216
Burkina Faso,19751535
Cabo Verde,543767
Cambodia,16249798
Cameroon,25216237
Canada,37058856
Central African Republic,4666377
Chad,15477751
Chile,18729160
China,1392730000
Hong Kong,7451000
Hubei,59500000
Macau,631636
Colombia,49648685
Congo (Brazzaville),5244363
Congo (Kinshasa),84068091
Costa Rica,4999441
Cote d'Ivoire,25069229
Croatia,4089400
Diamond Princess,3500
Cuba,11338138
Cyprus,1189265
Czechia,10625695
Faroe Islands,48497
Greenland,56025
Denmark,5797446
Djibouti,958920
Dominican Republic,10627165
Ecuador,17084357
Egypt,98423595
El Salvador,6420744
Equatorial Guinea,1308974
Eritrea,3214000
Estonia,1320884
Eswatini,1136191
Ethiopia,109224559
Fiji,883483
Finland,5518050
French Guiana,290700
French Polynesia,277679
Guadeloupe,400124
Mayotte,272815
New Caledonia,284060
Reunion,895312
Saint Barthelemy,9877
St Martin,38666
Martinique,375265
France,66987244
Gabon,2119275
Gambia,2416668
Georgia,3731000
Germany,82927922
Ghana,29767108
Greece,10727668
Guatemala,17247807
Guinea,12414318
Guyana,779004
Haiti,11123176
Holy See,801
Honduras,9587522
Hungary,9768785
Iceland,353574
India,1352617328
Indonesia,267663435
Iran,81800269
Iraq,38433600
Ireland,4853506
Israel,8883800
Italy,60431283
Jamaica,2934855
Japan,126529100
Jordan,9956011
Kazakhstan,18276499
Kenya,51393010
Korea, South,51635256
Kuwait,4137309
Kyrgyzstan,6524195
Latvia,1926542
Lebanon,6848925
Liberia,4818977
Liechtenstein,37910
Lithuania,2789533
Luxembourg,607728
Madagascar,26262368
Malaysia,31528585
Maldives,515696
Malta,483530
Mauritania,4403319
Mauritius,1265303
Mexico,126190788
Moldova,3545883
Monaco,38682
Mongolia,3170208
Montenegro,622345
Morocco,36029138
Namibia,2448255
Nepal,28087871
Aruba,105845
Curacao,159849
Sint Maarten,42876
Netherlands,17231017
New Zealand,4885500
Nicaragua,6465513
Niger,22442948
Nigeria,195874740
North Macedonia,2082958
Norway,5314336
Oman,4829483
Pakistan,212215030
Panama,4176873
Papua New Guinea,8606316
Paraguay,6956071
Peru,31989256
Philippines,106651922
Poland,37978548
Portugal,10281762
Qatar,2781677
Romania,19473936
Russia,144478050
Rwanda,12301939
Saint Lucia,183627
Saint Vincent and the Grenadines,110940
San Marino,33785
Saudi Arabia,33699947
Senegal,15854360
Serbia,6982084
Seychelles,96762
Singapore,5638676
Slovakia,5459642
Slovenia,2067372
Somalia,15008154
South Africa,57779622
Spain,46723749
Sri Lanka,21670000
Sudan,41801533
Suriname,575991
Sweden,10183175
Switzerland,8516543
Taiwan,23780000
Tanzania,56318348
Thailand,69428524
Togo,7889094
Trinidad and Tobago,1389858
Tunisia,11565204
Turkey,82319724
Uganda,42723139
Ukraine,44622516
United Arab Emirates,9630959
Bermuda,63968
Cayman Islands,64174
Channel Islands,170499
Gibraltar,33718
Isle of Man,84077
Montserrat,4992
United Kingdom,66488991
Uruguay,3449299
US,331002000
Uzbekistan,32955400
Venezuela,28435980
Vietnam,95540395
Zambia,17351822
Zimbabwe,14439018
Dominica,71625
Grenada,111454
Mozambique,29495962
Syria,17500658
Timor-Leste,1267972
Belize,383071
Laos,7275560
Libya,6678567
West Bank and Gaza,4569087
Guinea-Bissau,1874309
Mali,19077690
Saint Kitts and Nevis,53199
Kosovo,1845300
Burma,53710000
Anguilla,15003
British Virgin Islands,29802
Turks and Caicos Islands,37665
MS Zaandam,3500
Botswana,2254126
Burundi,11175378
Sierra Leone,7650154
Bonaire, Sint Eustatius and Saba,20000
Malawi,18143315
Falkland Islands (Malvinas),3480
Saint Pierre and Miquelon,5794
South Sudan,10975920
Western Sahara,594500
Sao Tome and Principe,211028
Yemen,28500000
Bonaire Sint Eustatius and Saba,20000
South Korea,51635256
Korea South,51635256
Korea,51635256